ABCC6
ABCC9
ALAD
ARL6
ATP2B2
ATP2B3
BAAT
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BMP15
BMPR2 
C10orf2
C2orf71
CAV3
CCDC28B
CD2AP
CDH23
CDK5RAP2
CEP152
CEP290
CEP41
CHD7
COL17A1
COL4A3
COL4A4
COL4A5
CPOX
CPT2
CYP1B1
DFNB31
DISP1
DSP
DUSP6
DYNC2H1
EDA
EDNRB
EMD
EYS
F5
FGA
FGFR1
FGG
FIGLA
FLRT3
FOXC1
FOXI1
FOXL2
FZD4
GALT
GCK
GDAP1
GDF9
GDNF
GGCX
GJB2
GJB3
GNRHR
GPR98
HAMP
HFE
HMBS
HNF1A
HNF4A
IL10RA
IL17RD
ITGA7
JUP
KAL1
KCNA5
KCNE1
KCNE2
KCNH2
KCNJ10
KCNQ1
KISS1R
KRT14
KRT5
LAMA1
LAMB3
LMBRD1
LMNA
LRP5
LRRK2
MAN1B1
MEFV
MFN2
MITF
MKKS
MTR
MYH7
MYH7B
MYO6
MYO7A
MYOC
NEK1
NEUROD1
NEXN
NLRP3
NOBOX
NOD2
NPHS1
NPHS2
NSMF
OCA2
OTUD4
PARK2
PARK7
PCDH15
PDE3A
PDX1
PDZD7
PINK1
PITX2
POLG
PRF1
PROK2
PROKR2
PRPH2
PSMA3
PSMB4
PSMB8
PSMB9
PYGM
RAB27A
RBM20
REC8
RET
RNF216
ROM1
RP1L1
SCN1A
SCN2A
SCN5A
SEC23A
SGCB
SGCD
SHH
SLC26A4
SLC3A1
SLC45A2
SLC7A9
SMC1B
SPRY4
STX11
STXBP2
TACR3
TEK
TJP2
TMPRSS3
TNFRSF1A
TRAPPC9
TRIM54
TRIM63
TTC8
TTN
TYR
UNC13D
UROD
USH1C
USH2A
WDR11
WNT10A
WT1
